Tech #,Technology,Technology subcategory,Technology type,Units,Region,Country,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,Indicator
1,Robotics & Smart Machines,Harvesting robots,Hardware,Units,Asia-Pacific,Asia-Pacific,90155216.02299468,90581263.60485761,90525090.95593603,90468874.2516005,90412614.01884547,90356310.53624523,90299963.80557317,90243573.52763231,90187139.08194432,90130659.50995679,90074133.50144567,90017559.3838059,89960935.11394295,89904258.27249563,89847526.06014049,89790735.29574603,89733882.41616417,89676963.47746278,89619974.1574213,89562909.75912653,89505765.21552119,market_potential
1,Robotics & Smart Machines,Harvesting robots,Hardware,Units,Africa & Middle East,Africa & Middle East,71954324.1748353,72045422.24074253,72228809.96733005,72413340.55251053,72599038.0500593,72785927.09186687,72974032.88759801,73163381.22419299,73353998.46518818,73545911.54982917,73739147.99194583,73933735.87855473,74129703.8681519,74327081.18865564,74525897.63495684,74726183.56603163,74927969.90156932,75131288.11806619,75336170.24433404,75542648.8563702,75750757.07153414,market_potential
1,Robotics & Smart Machines,Harvesting robots,Hardware,Units,EU Europe,EU Total,7755477.5,7749242.029978396,7743042.015266517,7736877.3785347575,7726403.603251643,7716428.419129326,7706930.599738313,7697890.062734307,7689287.809072004,7681105.86546537,7673327.229921156,7665935.820181588,7658916.424920998,7652254.6575494185,7645936.912483994,7639950.323756532,7634282.7258324865,7628922.616523396,7623859.121881035,7619081.962967527,7614581.42440133,market_potential
1,Robotics & Smart Machines,Harvesting robots,Hardware,Units,Rest of the world,Rest of the world,233350047.38318327,233850624.4467605,233920615.45915687,233991797.6971129,234064195.79343712,234137834.6892004,234212739.60185885,234288935.99773008,234366449.56842557,234445306.21085238,234525532.01041043,234607153.22702503,234690196.28367144,234774687.75706443,234860654.37020394,234948122.98648414,235037120.60509187,235127674.3574353,235219811.50436097,235313559.43393123,235408945.65954983,market_potential
1,Robotics & Smart Machines,Weeding robots,Hardware,Units,EU Europe,Austria,130133.5,129617.66666666669,129101.83333333333,128586.0,127834.90476839371,127088.196826593,126345.85054760541,125607.84045413062,124874.14121768606,124144.72765773756,123419.57474083533,122698.65757975467,121981.95143264186,121269.43170216505,120561.07393467013,119856.85381934136,119156.74718736712,118460.73001111037,117768.7784032841,117080.86861613148,116396.97704061081,market_potential
1,Robotics & Smart Machines,Weeding robots,Hardware,Units,EU Europe,Belgium,68406.0,68456.70611168588,68507.44980939873,68558.23112099932,68609.05007436902,68659.90669740988,68710.80101804463,68761.7330642167,68812.70286389026,68863.71044505014,68914.75583570199,68965.83906387218,69016.96015760786,69068.11914497697,69119.31605406826,69170.55091299128,69221.82374987646,69273.13459287505,69324.48347015916,69375.87040992182,69427.2954403769,market_potential
1,Robotics & Smart Machines,Weeding robots,Hardware,Units,EU Europe,Bulgaria,228207.5,228655.3972053728,229104.1734874919,229553.83057169948,230004.3701867239,230455.7940646866,230908.10394110848,231361.3015549168,231815.38864845168,232270.366967473,232726.23826116693,233183.00428215266,233640.66678648937,234099.22753368263,234558.6882866915,235019.0508119351,235480.31687929938,235942.48826214415,236405.56673730962,236869.5540851234,237334.4520894074,market_potential
1,Robotics & Smart Machines,Weeding robots,Hardware,Units,EU Europe,Croatia,61575.0,61911.33944303909,62248.339011168704,62586.0,62386.589474152104,62187.814306975764,61989.67247410122,61792.161957608725,61595.28074600796,61399.02683421761,61203.39822354493,61008.392921665334,60814.00894260222,60620.24430670659,60427.09704063705,60234.56517733957,60042.64675602757,59851.33982216186,59660.642427430794,59470.55262973039,59281.068493144565,market_potential
1,Robotics & Smart Machines,Weeding robots,Hardware,Units,EU Europe,Cyprus,6707.0,6635.640147841855,6564.140239470143,6492.5,6605.142915560691,6719.740151710679,6836.325615322375,6954.933801542189,7075.599803996916,7198.359325177181,7323.248687001046,7450.304841560891,7579.565382056748,7711.068553919321,7844.853266125995,7980.959102713172,8119.426334488334,8260.295930945327,8403.609572386342,8549.40966225424,8697.739339678816,market_potential
1,Robotics & Smart Machines,Weeding robots,Hardware,Units,EU Europe,Czechia,174628.5,175104.89770764788,175582.23042927159,176060.5,176209.89486363393,176359.41649519867,176509.0650022622,176658.84049248384,176808.7430736142,176958.77285349538,177108.92994006095,177259.21444133605,177409.62646543756,177560.166120574,177710.83351504582,177861.62875724523,178012.55195565656,178163.6032188561,178314.7826555123,178466.09037438582,178617.52648432963,market_potential
